event	station	error_phi_1	phi	error_phi_2	error_dt_1	dt	error_dt_2	quality
2007.215.00.41.14	NOCO	72	-90	-41	0.21	0.4	0.84	f
2007.268.05.16.01	NOCO	58	86	-84	0.42	0.6	1.05	g
2007.270.19.57.44	NOCO	48	74	-88	0.42	0.4	0.84	f
2007.271.00.44.47	NOCO	25	30	52	0.42	0.8	1.47	f
2007.271.01.01.49	NOCO	23	42	-90	0.21	0.4	1.68	f
2007.271.01.35.51	NOCO	21	-86	-76	0	0.4	1.89	g
2007.271.11.12.40	NOCO	46	-83	-78	0.21	1.2	2.74	f
2007.271.11.16.39	NOCO	-86	-77	-78	0.84	1.6	2.32	g
2007.272.15.36.44	NOCO	88	-88	-82	0.84	1.4	1.89	f
2007.272.17.24.58	NOCO	-90	-84	-82	0.84	1.2	1.68	g
2007.278.07.17.52	NOCO	84	89	-86	0.42	0.4	0.63	g
2007.286.17.45.53	NOCO	33	80	-84	0.21	0.4	1.05	f
2007.196.09.27.34	NOMA	23	29	43	0.63	1	1.47	f
2007.207.13.52.30	NOMA	31	35	43	0.84	1	1.05	g
2007.208.14.46.26	NOMA	27	35	58	0.42	0.8	1.47	g
2007.212.22.55.31	NOMA	19	74	88	0.21	0.4	0.84	f
2007.213.17.08.51	NOMA	25	26	27	1.47	1.6	1.89	g
2007.231.13.44.04	NOMA	31	35	41	1.05	1.4	1.68	g
2007.257.11.51.30	NOMA	39	41	43	1.26	1.2	1.47	g
2007.271.00.44.47	NOMA	29	38	76	0.42	1	1.89	f
2007.271.01.01.49	NOMA	35	44	62	0.84	1	1.47	g
2007.271.01.35.51	NOMA	31	38	46	1.05	1.2	1.68	f
2007.271.11.16.39	NOMA	31	36	48	1.05	1.6	2.32	f
2007.272.17.24.58	NOMA	33	44	58	0.63	1	1.47	g
2007.273.05.23.34	NOMA	60	77	-60	0.42	0.8	1.47	f
2007.278.07.17.52	NOMA	31	35	39	1.26	1.4	1.68	g
2007.286.17.45.53	NOMA	37	48	58	0.63	0.6	0.84	g
2007.289.21.05.43	NOMA	33	37	39	1.26	1.2	1.47	g
2007.314.16.11.24	NOMA	27	57	88	0.21	0.4	0.63	f
2008.100.11.13.17	NOMA	27	41	86	0.42	0.8	1.89	g
2008.100.12.46.12	NOMA	33	39	56	0.63	0.8	1.05	g
2008.100.14.47.50	NOMA	27	33	41	0.84	1.2	1.89	f
2008.103.00.30.12	NOMA	72	79	-80	0.42	0.6	0.84	f
2008.110.05.58.42	NOMA	31	33	35	1.26	1.4	1.68	g
2008.117.23.34.49	NOMA	56	63	-92	0.42	0.8	1.47	f
2008.127.12.42.17	NOMA	29	42	66	0.42	1	1.68	f
2008.162.04.13.37	NOMA	27	30	37	1.05	1.4	1.89	g
2008.178.21.19.15	NOMA	29	37	46	0.63	0.8	1.26	g
2008.199.22.51.55	NOMA	52	55	60	0.84	1	1.05	g
2008.225.05.25.57	NOMA	-74	-55	-7	0.21	0.4	1.05	f
2008.232.13.37.28	NOMA	13	20	33	0.84	1.4	2.53	f
2008.232.16.30.13	NOMA	15	18	29	0.84	1.6	2.53	f
2008.245.04.00.39	NOMA	37	40	41	1.26	1.2	1.26	g
2008.245.07.06.16	NOMA	-72	-64	-64	2.32	2.6	2.95	f
2008.252.03.03.15	NOMA	35	39	48	0.84	1.2	1.47	f
2008.252.18.52.06	NOMA	35	37	43	1.26	1.4	1.47	g
2008.293.12.55.05	NOMA	21	31	39	0.84	1.4	2.32	f
2008.296.12.55.57	NOMA	19	38	84	0.21	0.6	1.47	f
2008.309.18.35.45	NOMA	33	37	41	1.05	1.2	1.47	g
2008.311.09.11.05	NOMA	37	42	46	1.26	1.2	1.47	g
2008.312.07.19.35	NOMA	27	29	31	1.47	1.6	1.89	g
2008.327.18.49.42	NOMA	15	29	43	0.42	0.4	0.84	g
2008.328.08.58.18	NOMA	29	40	54	0.84	1.4	2.11	f
2008.332.17.31.27	NOMA	29	34	37	1.05	1.2	1.47	g
2008.333.13.42.18	NOMA	35	41	50	0.84	1	1.47	f
2008.345.13.15.34	NOMA	31	34	35	1.26	1.2	1.26	g
2009.019.03.35.18	NOMA	33	44	82	0.42	0.8	1.26	g
2009.019.22.26.57	NOMA	33	37	39	1.05	1	1.26	g
2009.049.21.53.45	NOMA	27	31	37	0.84	1.2	1.68	g
2009.051.01.46.17	NOMA	35	46	54	0.84	1	1.47	f
2009.108.17.49.39	NOMA	37	42	48	0.84	1	1.26	g
2009.133.21.31.17	NOMA	13	27	64	0.42	1	2.11	f
2009.143.02.59.28	NOMA	33	34	39	1.26	1.4	1.68	g
2009.149.06.20.14	NOMA	29	43	72	0.63	0.8	1.47	f
2009.153.02.17.03	NOMA	31	36	41	0.84	1	1.26	g
2009.163.09.44.15	NOMA	27	34	39	0.84	1.2	1.68	g
2009.222.04.06.31	NOMA	27	32	37	1.05	1.2	1.47	g
2009.275.01.07.39	NOMA	21	27	33	1.05	1.2	1.68	g
2009.275.15.47.09	NOMA	19	26	35	0.63	1	1.68	f
