event	station	error_phi_1	phi	error_phi_2	error_dt_1	dt	error_dt_2	quality
2011.113.04.16.54	WT20	-9	-4	1	0.84	1	1.26	g
2009.280.22.03.14	ZMBA	29	34	41	1.26	1.4	2.11	g
2009.281.08.28.47	ZMBA	33	39	56	0.84	1	1.26	g
2009.284.03.12.13	ZMBA	25	40	-82	0.21	0.8	2.32	f
2009.304.19.09.51	ZMBA	29	33	37	1.26	1.4	1.68	g
2009.306.10.47.13	ZMBA	35	45	56	0.63	0.8	1.26	f
2009.313.10.44.55	ZMBA	33	36	39	0.84	1	1.05	g
2009.321.15.30.47	ZMBA	56	64	78	0.84	1	1.26	f
2009.326.07.48.20	ZMBA	31	35	39	1.05	1	1.26	g
2009.326.22.47.27	ZMBA	46	55	76	0.42	0.6	0.84	f
2009.328.12.47.15	ZMBA	37	43	48	0.84	0.8	1.05	g
2009.343.09.46.03	ZMBA	46	52	58	0.84	1	1.26	g
2010.015.10.14.02	ZMBA	60	88	-84	0.42	0.8	1.26	f
2007.196.09.27.34	ZNBA	80	83	86	0.42	0.4	0.42	g
2007.207.13.52.30	ZNBA	27	77	-92	0.21	0.4	0.63	f
2007.213.17.08.51	ZNBA	82	83	88	0.63	0.6	0.63	g
2007.215.00.41.14	ZNBA	-56	-47	-41	0.42	0.6	0.84	f
2007.223.18.04.53	ZNBA	82	87	-92	0.63	0.8	0.84	g
2007.224.12.05.19	ZNBA	29	37	50	0.21	0.4	0.42	f
2007.231.13.44.04	ZNBA	70	-89	-82	0.21	0.6	1.05	f
2007.245.01.05.18	ZNBA	17	81	-86	0.21	0.4	1.47	f
2007.270.19.57.44	ZNBA	25	33	39	0.42	0.4	1.05	f
2007.271.00.44.47	ZNBA	23	83	-78	0.21	0.4	1.68	f
2007.271.01.01.49	ZNBA	-92	-87	-88	0.63	0.6	0.84	f
2007.271.01.35.51	ZNBA	48	89	-84	0.42	0.6	1.05	f
2007.271.11.12.40	ZNBA	84	-88	-88	0.63	0.8	1.05	g
2007.271.11.16.39	ZNBA	52	88	-84	0.42	0.6	1.26	f
2007.272.17.24.58	ZNBA	46	65	-92	0.42	0.4	0.63	f
2007.278.07.17.52	ZNBA	80	82	88	0.63	0.6	0.63	g
2007.286.17.45.53	ZNBA	29	45	54	0.42	0.4	0.84	f
2007.289.21.05.43	ZNBA	76	81	86	0.63	0.6	0.63	g
2007.343.07.28.20	ZNBA	60	72	80	0.42	0.6	0.63	g
2007.354.07.55.15	ZNBA	48	70	-86	0.42	0.4	0.84	f
